"utm10","Mmo2003","Mmo_P","Mmo_F","Mmo2015"
"VJ58",0,0.0340689563715022,0.518297009800474,0
"VJ59",0,0.0374273943175749,0.542576638705348,0
"VJ60",0,0.00476732007283053,0.127497845398596,0
"VJ61",1,0.00564418081919811,0.14760082195073,1
"VJ62",0,0.00615762108194224,0.158963355701778,0
"VJ63",0,0.00764266419520053,0.190246324899743,0
"VJ64",0,0.0107101815993392,0.248268963592136,0
"VJ65",0,0.0101127041417909,0.237601942561633,0
"VJ66",0,0.0141473446568362,0.304480209741344,0
"VJ67",0,0.0168622093600304,0.343497263995972,0
"VJ68",0,0.0197376213340701,0.380513993653915,0
"VJ69",0,0.0271424833408056,0.459784334396278,0
"VJ70",0,0.00424970749066152,0.115197156741729,0
"VJ71",0,0.00452503753036763,0.121781441244482,0
"VJ72",0,0.0050437150072758,0.133932222277869,0
"VJ73",0,0.00592867694381504,0.15393297547057,0
"VJ74",0,0.00656745884877379,0.167826171226911,0
"VJ75",0,0.00685940867152174,0.174030911461662,0
"VJ76",0,0.00755907564057263,0.188545035991454,0
"VJ77",0,0.00913190397887809,0.219448930657434,0
"VJ78",0,0.0117867282157161,0.266784628640954,0
"VJ79",0,0.0153830768775047,0.322772816283153,0
"VJ80",0,0.0025052647357267,0.071165271865736,0
"VJ81",0,0.00295507451897275,0.0829179502046178,0
"VJ82",0,0.00328803952672562,0.0914345310261681,0
"VJ83",0,0.0041028726853999,0.111646710276435,0
"VJ84",0,0.00397322154509937,0.108488871269033,0
"VJ85",0,0.00367461888669371,0.101133064875252,0
"VJ86",0,0.00357896988914774,0.0987520467844571,0
"VJ87",0,0.00448807155453372,0.120902921619155,0
"VJ88",0,0.0060117318960124,0.155764537969953,0
"VJ89",0,0.00734021115764252,0.184057781743623,0
"VJ90",0,0.00199268261153519,0.0574132823005625,0
"VJ91",0,0.00223989897865163,0.0640945260970411,0
"VJ92",0,0.00232449777230248,0.0663599362915087,0
"VJ93",0,0.00278440428743192,0.0784925998107378,0
"VJ94",0,0.00258416526047473,0.0732477563126316,0
"VJ95",0,0.0022798823439666,0.0651665324935363,0
"VJ96",0,0.0018377579835936,0.0531791797881264,0
"VJ97",0,0.00214998715725355,0.0616751842382413,0
"VJ98",0,0.00299219980312891,0.0838751575238155,0
"VJ99",0,0.00486992971683058,0.129897271596173,0
"VK00",0,0.0273132487641827,0.461386137223545,0
"VK01",0,0.0329883626735695,0.509966406453267,0
