idnum,utmcode,lat,lon,alydic2002,alydic2015,alydic_p
1449,29TPF63,40.9545212,-7.0439,0,0,7.55E-13
1450,29TPF64,41.0440102,-7.0411067,0,0,1.92E-12
1451,29TPF65,41.1322212,-7.035759,0,0,2.79E-12
1452,29TPF66,41.223896,-7.0357542,0,0,3.01E-12
1453,29TPF67,41.3115997,-7.0343437,0,0,9.68E-13
1454,29TPF68,41.4019089,-7.0329823,0,0,3.34E-12
1455,29TPF69,41.4915733,-7.0258493,0,0,2.74E-12
1456,29TPF70,40.684124,-6.9316268,0,0,2.01E-12
1457,29TPF71,40.7731171,-6.9248958,0,0,8.77E-13
1458,29TPF72,40.8618088,-6.9246306,0,0,3.18E-13
1459,29TPF73,40.9524269,-6.9233928,0,0,4.76E-13
1460,29TPF74,41.0431137,-6.922368,0,0,1.30E-12
1461,29TPF75,41.1327324,-6.9186416,0,0,1.27E-12
1462,29TPF76,41.2179451,-6.9147558,0,0,2.09E-12
